comp_name,stock_id,chg_stock_id
老白干酒,SH600559,sh.600559
喜临门,SH603008,sh.603008
小熊电器,SZ002959,sz.002959
奥普特,SH688686,sh.688686
国网信通,SH600131,sh.600131
武商集团,SZ000501,sz.000501
迎驾贡酒,SH603198,sh.603198
合肥百货,SZ000417,sz.000417
震有科技,SH688418,sh.688418
和晶科技,SZ300279,sz.300279
东方中科,SZ002819,sz.002819
张裕A,SZ000869,sz.000869
通程控股,SZ000419,sz.000419
京蓝科技,SZ000711,sz.000711
巴比食品,SH605338,sh.605338
迈信林,SH688685,sh.688685
甘源食品,SZ002991,sz.002991
惠天热电,SZ000692,sz.000692
飞利信,SZ300287,sz.300287
德艺文创,SZ300640,sz.300640
光电股份,SH600184,sh.600184
同方股份,SH600100,sh.600100
金刚光伏,SZ300093,sz.300093
卫宁健康,SZ300253,sz.300253
华测导航,SZ300627,sz.300627
家家悦,SH603708,sh.603708
三七互娱,SZ002555,sz.002555
大悦城,SZ000031,sz.000031
江南化工,SZ002226,sz.002226
惠程科技,SZ002168,sz.002168
键凯科技,SH688356,sh.688356
京北方,SZ002987,sz.002987
新特电气,SZ301120,sz.301120
瑞茂通,SH600180,sh.600180
凌志软件,SH688588,sh.688588
仙乐健康,SZ300791,sz.300791
金域医学,SH603882,sh.603882
粤泰股份,SH600393,sh.600393
飞科电器,SH603868,sh.603868
兰生股份,SH600826,sh.600826
东方电子,SZ000682,sz.000682
金海高科,SH603311,sh.603311
道道全,SZ002852,sz.002852
泸州老窖,SZ000568,sz.000568
众兴菌业,SZ002772,sz.002772
风语筑,SH603466,sh.603466
华利集团,SZ300979,sz.300979
迅游科技,SZ300467,sz.300467
筑博设计,SZ300564,sz.300564
申昊科技,SZ300853,sz.300853
利欧股份,SZ002131,sz.002131
四方光电,SH688665,sh.688665
时空科技,SH605178,sh.605178
时代出版,SH600551,sh.600551
熙菱信息,SZ300588,sz.300588
新华都,SZ002264,sz.002264
景嘉微,SZ300474,sz.300474
佳创视讯,SZ300264,sz.300264
海南椰岛,SH600238,sh.600238
三夫户外,SZ002780,sz.002780
宣亚国际,SZ300612,sz.300612
博济医药,SZ300404,sz.300404
岳阳林纸,SH600963,sh.600963
英力股份,SZ300956,sz.300956
中视传媒,SH600088,sh.600088
康众医疗,SH688607,sh.688607
佳云科技,SZ300242,sz.300242
新智认知,SH603869,sh.603869
贝泰妮,SZ300957,sz.300957
爱博医疗,SH688050,sh.688050
南宁糖业,SZ000911,sz.000911
金牌厨柜,SH603180,sh.603180
一心堂,SZ002727,sz.002727
贵广网络,SH600996,sh.600996
朗姿股份,SZ002612,sz.002612
全聚德,SZ002186,sz.002186
中际联合,SH605305,sh.605305
牧高笛,SH603908,sh.603908
华胜天成,SH600410,sh.600410
宣泰医药,SH688247,sh.688247
水井坊,SH600779,sh.600779
惠泰医疗,SH688617,sh.688617
海天瑞声,SH688787,sh.688787
电广传媒,SZ000917,sz.000917
江龙船艇,SZ300589,sz.300589
老百姓,SH603883,sh.603883
太平鸟,SH603877,sh.603877
无锡振华,SH605319,sh.605319
华铭智能,SZ300462,sz.300462
天士力,SH600535,sh.600535
冰川网络,SZ300533,sz.300533
安井食品,SH603345,sh.603345
伟星股份,SZ002003,sz.002003
丸美股份,SH603983,sh.603983
华数传媒,SZ000156,sz.000156
雪榕生物,SZ300511,sz.300511
欢乐家,SZ300997,sz.300997
天亿马,SZ301178,sz.301178
佐力药业,SZ300181,sz.300181
雅博股份,SZ002323,sz.002323
会稽山,SH601579,sh.601579
致远互联,SH688369,sh.688369
嘉和美康,SH688246,sh.688246
同飞股份,SZ300990,sz.300990
中大力德,SZ002896,sz.002896
优刻得-W,SH688158,sh.688158
测绘股份,SZ300826,sz.300826
江西长运,SH600561,sh.600561
科大国创,SZ300520,sz.300520
百联股份,SH600827,sh.600827
福建金森,SZ002679,sz.002679
杭州园林,SZ300649,sz.300649
华映科技,SZ000536,sz.000536
金陵饭店,SH601007,sh.601007
智微智能,SZ001339,sz.001339
德尔未来,SZ002631,sz.002631
太龙股份,SZ300650,sz.300650
徐家汇,SZ002561,sz.002561
天龙集团,SZ300063,sz.300063
三六零,SH601360,sh.601360
北新建材,SZ000786,sz.000786
鸣志电器,SH603728,sh.603728
华扬联众,SH603825,sh.603825
日辰股份,SH603755,sh.603755
美利云,SZ000815,sz.000815
华阳国际,SZ002949,sz.002949
松炀资源,SH603863,sh.603863
美吉姆,SZ002621,sz.002621
中科通达,SH688038,sh.688038
物产中大,SH600704,sh.600704
豪悦护理,SH605009,sh.605009
同为股份,SZ002835,sz.002835
博瑞传播,SH600880,sh.600880
华西股份,SZ000936,sz.000936
若羽臣,SZ003010,sz.003010
伊力特,SH600197,sh.600197
卓翼科技,SZ002369,sz.002369
天音控股,SZ000829,sz.000829
金雷股份,SZ300443,sz.300443
高争民爆,SZ002827,sz.002827
东易日盛,SZ002713,sz.002713
云从科技-UW,SH688327,sh.688327
华谊兄弟,SZ300027,sz.300027
口子窖,SH603589,sh.603589
成都先导,SH688222,sh.688222
水羊股份,SZ300740,sz.300740
海信家电,SZ000921,sz.000921
信捷电气,SH603416,sh.603416
青海春天,SH600381,sh.600381
马应龙,SH600993,sh.600993
金种子酒,SH600199,sh.600199
宁通信B,SZ200468,sz.200468
金信诺,SZ300252,sz.300252
唐人神,SZ002567,sz.002567
安图生物,SH603658,sh.603658
协鑫能科,SZ002015,sz.002015
金科股份,SZ000656,sz.000656
广州酒家,SH603043,sh.603043
四方科技,SH603339,sh.603339
奥比中光-UW,SH688322,sh.688322
大连友谊,SZ000679,sz.000679
正平股份,SH603843,sh.603843
广誉远,SH600771,sh.600771
广博股份,SZ002103,sz.002103
沃尔核材,SZ002130,sz.002130
生物股份,SH600201,sh.600201
永和股份,SH605020,sh.605020
老板电器,SZ002508,sz.002508
恒华科技,SZ300365,sz.300365
拓尔思,SZ300229,sz.300229
新产业,SZ300832,sz.300832
首旅酒店,SH600258,sh.600258
雷柏科技,SZ002577,sz.002577
佰维存储,SH688525,sh.688525
新五丰,SH600975,sh.600975
聚飞光电,SZ300303,sz.300303
新开普,SZ300248,sz.300248
沃格光电,SH603773,sh.603773
因赛集团,SZ300781,sz.300781
三未信安,SH688489,sh.688489
皖新传媒,SH601801,sh.601801
中顺洁柔,SZ002511,sz.002511
长亮科技,SZ300348,sz.300348
挖金客,SZ301380,sz.301380
美年健康,SZ002044,sz.002044
九典制药,SZ300705,sz.300705
立昂技术,SZ300603,sz.300603
中国高科,SH600730,sh.600730
华嵘控股,SH600421,sh.600421
川网传媒,SZ300987,sz.300987
博菲电气,SZ001255,sz.001255
昆仑万维,SZ300418,sz.300418
西安旅游,SZ000610,sz.000610
汉王科技,SZ002362,sz.002362
居然之家,SZ000785,sz.000785
佳禾智能,SZ300793,sz.300793
小商品城,SH600415,sh.600415
麦克奥迪,SZ300341,sz.300341
普联软件,SZ300996,sz.300996
